/usr/local/lib/python3.10/dist-packages/google/api_core/_python_version_support.py:273: FutureWarning: You are using a Python version (3.10.12) which Google will stop supporting in new releases of google.api_core once it reaches its end of life (2026-10-04). Please upgrade to the latest Python version, or at least Python 3.11, to continue receiving updates for google.api_core past that date.
  warnings.warn(message, FutureWarning)
/usr/local/lib/python3.10/dist-packages/google/api_core/_python_version_support.py:273: FutureWarning: You are using a Python version (3.10.12) which Google will stop supporting in new releases of google.cloud.storage_control_v2 once it reaches its end of life (2026-10-04). Please upgrade to the latest Python version, or at least Python 3.11, to continue receiving updates for google.cloud.storage_control_v2 past that date.
  warnings.warn(message, FutureWarning)
frames_root: /datasets/ssv2/nips/frames_train
videos_to_process: 5000
first_video: 122166 | last_video: 128757
2026-04-26 15:54:45.981121: E external/local_xla/xla/stream_executor/cuda/cuda_dnn.cc:9261] Unable to register cuDNN factory: Attempting to register factory for plugin cuDNN when one has already been registered
2026-04-26 15:54:45.981167: E external/local_xla/xla/stream_executor/cuda/cuda_fft.cc:607] Unable to register cuFFT factory: Attempting to register factory for plugin cuFFT when one has already been registered
2026-04-26 15:54:45.982083: E external/local_xla/xla/stream_executor/cuda/cuda_blas.cc:1515] Unable to register cuBLAS factory: Attempting to register factory for plugin cuBLAS when one has already been registered
AttributeError: 'MessageFactory' object has no attribute 'GetPrototype'
AttributeError: 'MessageFactory' object has no attribute 'GetPrototype'
AttributeError: 'MessageFactory' object has no attribute 'GetPrototype'
AttributeError: 'MessageFactory' object has no attribute 'GetPrototype'
2026-04-26 15:54:46.725523: W tensorflow/compiler/tf2tensorrt/utils/py_utils.cc:38] TF-TRT Warning: Could not find TensorRT
AttributeError: 'MessageFactory' object has no attribute 'GetPrototype'
[1/5000] Wrote video_id=122166 | split=train | frames=41 | time=18.55s
[2/5000] Wrote video_id=122167 | split=train | frames=39 | time=7.74s
[3/5000] Wrote video_id=122170 | split=train | frames=42 | time=10.38s
[4/5000] Wrote video_id=122171 | split=train | frames=48 | time=12.62s
[5/5000] Wrote video_id=122172 | split=train | frames=66 | time=17.51s
[6/5000] Wrote video_id=122174 | split=train | frames=49 | time=12.91s
[7/5000] Wrote video_id=122175 | split=train | frames=54 | time=13.84s
[8/5000] Wrote video_id=122176 | split=train | frames=32 | time=7.67s
[9/5000] Wrote video_id=122177 | split=train | frames=57 | time=15.47s
[10/5000] Wrote video_id=122178 | split=train | frames=40 | time=9.32s
[11/5000] Wrote video_id=122181 | split=train | frames=45 | time=12.55s
[12/5000] Wrote video_id=122182 | split=train | frames=44 | time=12.36s
[13/5000] Wrote video_id=122183 | split=train | frames=59 | time=16.39s
[14/5000] Wrote video_id=122184 | split=train | frames=52 | time=14.14s
[15/5000] Wrote video_id=122185 | split=train | frames=58 | time=15.47s
[16/5000] Wrote video_id=122186 | split=train | frames=39 | time=8.82s
[17/5000] Wrote video_id=122187 | split=train | frames=45 | time=12.38s
[18/5000] Wrote video_id=122188 | split=train | frames=55 | time=14.25s
[19/5000] Wrote video_id=122189 | split=train | frames=35 | time=8.25s
[20/5000] Wrote video_id=122191 | split=train | frames=50 | time=12.46s
[21/5000] Wrote video_id=122192 | split=train | frames=44 | time=11.18s
[22/5000] Wrote video_id=122194 | split=train | frames=50 | time=12.13s
[23/5000] Wrote video_id=122195 | split=train | frames=39 | time=10.45s
[24/5000] Wrote video_id=122196 | split=train | frames=48 | time=13.32s
[25/5000] Wrote video_id=122197 | split=train | frames=45 | time=10.27s
[26/5000] Wrote video_id=122198 | split=train | frames=44 | time=11.51s
[27/5000] Wrote video_id=122199 | split=train | frames=58 | time=13.64s
[28/5000] Wrote video_id=122200 | split=train | frames=60 | time=15.01s
[29/5000] Wrote video_id=122201 | split=train | frames=36 | time=8.60s
[30/5000] Wrote video_id=122202 | split=train | frames=70 | time=20.05s
[31/5000] Wrote video_id=122205 | split=train | frames=36 | time=9.11s
[32/5000] Wrote video_id=122206 | split=train | frames=57 | time=14.88s
[33/5000] Wrote video_id=122207 | split=train | frames=44 | time=12.06s
[34/5000] Wrote video_id=122208 | split=train | frames=52 | time=15.02s
[35/5000] Wrote video_id=122210 | split=train | frames=38 | time=9.43s
[36/5000] Wrote video_id=122211 | split=train | frames=31 | time=6.74s
[37/5000] Wrote video_id=122212 | split=train | frames=61 | time=17.64s
[38/5000] Wrote video_id=122213 | split=train | frames=60 | time=16.85s
[39/5000] Wrote video_id=122214 | split=train | frames=44 | time=11.72s
[40/5000] Wrote video_id=122216 | split=train | frames=30 | time=7.17s
[41/5000] Wrote video_id=122219 | split=train | frames=56 | time=15.58s
[42/5000] Wrote video_id=122220 | split=train | frames=27 | time=7.67s
[43/5000] Wrote video_id=122221 | split=train | frames=48 | time=13.87s
[44/5000] Wrote video_id=122224 | split=train | frames=18 | time=4.42s
[45/5000] Wrote video_id=122225 | split=train | frames=58 | time=15.43s
[46/5000] Wrote video_id=122226 | split=train | frames=43 | time=12.42s
[47/5000] Wrote video_id=122227 | split=train | frames=26 | time=7.45s
[48/5000] Wrote video_id=122228 | split=train | frames=39 | time=10.77s
[49/5000] Wrote video_id=122229 | split=train | frames=51 | time=14.36s
[50/5000] Wrote video_id=122230 | split=train | frames=37 | time=9.09s
[51/5000] Wrote video_id=122231 | split=train | frames=46 | time=11.33s
[52/5000] Wrote video_id=122232 | split=train | frames=43 | time=11.54s
[53/5000] Wrote video_id=122233 | split=train | frames=38 | time=9.92s
[54/5000] Wrote video_id=122234 | split=train | frames=37 | time=10.86s
[55/5000] Wrote video_id=122235 | split=train | frames=56 | time=15.06s
[56/5000] Wrote video_id=122236 | split=train | frames=22 | time=6.35s
[57/5000] Wrote video_id=122237 | split=train | frames=56 | time=15.52s
[58/5000] Wrote video_id=122238 | split=train | frames=59 | time=14.18s
[59/5000] Wrote video_id=122239 | split=train | frames=48 | time=13.94s
[60/5000] Wrote video_id=122240 | split=train | frames=39 | time=10.05s
[61/5000] Wrote video_id=122242 | split=train | frames=59 | time=16.89s
[62/5000] Wrote video_id=122243 | split=train | frames=38 | time=11.02s
[63/5000] Wrote video_id=122245 | split=train | frames=57 | time=15.73s
[64/5000] Wrote video_id=122246 | split=train | frames=36 | time=9.97s
[65/5000] Wrote video_id=122247 | split=train | frames=50 | time=12.36s
[66/5000] Wrote video_id=122250 | split=train | frames=42 | time=11.27s
[67/5000] Wrote video_id=122251 | split=train | frames=44 | time=12.55s
[68/5000] Wrote video_id=122252 | split=train | frames=70 | time=18.04s
[69/5000] Wrote video_id=122254 | split=train | frames=48 | time=12.00s
[70/5000] Wrote video_id=122255 | split=train | frames=52 | time=14.80s
[71/5000] Wrote video_id=122256 | split=train | frames=33 | time=7.53s
[72/5000] Wrote video_id=122257 | split=train | frames=49 | time=11.45s
[73/5000] Wrote video_id=122258 | split=train | frames=45 | time=9.68s
