/usr/local/lib/python3.10/dist-packages/google/api_core/_python_version_support.py:273: FutureWarning: You are using a Python version (3.10.12) which Google will stop supporting in new releases of google.api_core once it reaches its end of life (2026-10-04). Please upgrade to the latest Python version, or at least Python 3.11, to continue receiving updates for google.api_core past that date.
  warnings.warn(message, FutureWarning)
/usr/local/lib/python3.10/dist-packages/google/api_core/_python_version_support.py:273: FutureWarning: You are using a Python version (3.10.12) which Google will stop supporting in new releases of google.cloud.storage_control_v2 once it reaches its end of life (2026-10-04). Please upgrade to the latest Python version, or at least Python 3.11, to continue receiving updates for google.cloud.storage_control_v2 past that date.
  warnings.warn(message, FutureWarning)
frames_root: /datasets/ssv2/nips/frames_train
videos_to_process: 5000
first_video: 109158 | last_video: 115678
2026-04-26 15:54:23.909153: E external/local_xla/xla/stream_executor/cuda/cuda_dnn.cc:9261] Unable to register cuDNN factory: Attempting to register factory for plugin cuDNN when one has already been registered
2026-04-26 15:54:23.909189: E external/local_xla/xla/stream_executor/cuda/cuda_fft.cc:607] Unable to register cuFFT factory: Attempting to register factory for plugin cuFFT when one has already been registered
2026-04-26 15:54:23.910025: E external/local_xla/xla/stream_executor/cuda/cuda_blas.cc:1515] Unable to register cuBLAS factory: Attempting to register factory for plugin cuBLAS when one has already been registered
AttributeError: 'MessageFactory' object has no attribute 'GetPrototype'
AttributeError: 'MessageFactory' object has no attribute 'GetPrototype'
AttributeError: 'MessageFactory' object has no attribute 'GetPrototype'
AttributeError: 'MessageFactory' object has no attribute 'GetPrototype'
2026-04-26 15:54:24.707638: W tensorflow/compiler/tf2tensorrt/utils/py_utils.cc:38] TF-TRT Warning: Could not find TensorRT
AttributeError: 'MessageFactory' object has no attribute 'GetPrototype'
[1/5000] Wrote video_id=109158 | split=train | frames=56 | time=24.57s
[2/5000] Wrote video_id=109159 | split=train | frames=34 | time=7.43s
[3/5000] Wrote video_id=109160 | split=train | frames=47 | time=11.37s
[4/5000] Wrote video_id=109161 | split=train | frames=54 | time=10.53s
[5/5000] Wrote video_id=109162 | split=train | frames=52 | time=9.37s
[6/5000] Wrote video_id=109163 | split=train | frames=46 | time=10.76s
[7/5000] Wrote video_id=109164 | split=train | frames=54 | time=12.47s
[8/5000] Wrote video_id=109165 | split=train | frames=66 | time=15.84s
[9/5000] Wrote video_id=109166 | split=train | frames=61 | time=14.62s
[10/5000] Wrote video_id=109168 | split=train | frames=67 | time=14.74s
[11/5000] Wrote video_id=109169 | split=train | frames=37 | time=8.92s
[12/5000] Wrote video_id=109170 | split=train | frames=59 | time=12.44s
[13/5000] Wrote video_id=109171 | split=train | frames=38 | time=8.08s
[14/5000] Wrote video_id=109172 | split=train | frames=45 | time=10.59s
[15/5000] Wrote video_id=109173 | split=train | frames=55 | time=12.72s
[16/5000] Wrote video_id=109174 | split=train | frames=59 | time=13.74s
[17/5000] Wrote video_id=109175 | split=train | frames=22 | time=4.54s
[18/5000] Wrote video_id=109176 | split=train | frames=50 | time=11.72s
[19/5000] Wrote video_id=109177 | split=train | frames=61 | time=15.14s
[20/5000] Wrote video_id=109178 | split=train | frames=64 | time=12.74s
[21/5000] Wrote video_id=109180 | split=train | frames=29 | time=6.93s
[22/5000] Wrote video_id=109181 | split=train | frames=45 | time=9.46s
[23/5000] Wrote video_id=109183 | split=train | frames=54 | time=12.96s
[24/5000] Wrote video_id=109185 | split=train | frames=47 | time=11.74s
[25/5000] Wrote video_id=109186 | split=train | frames=42 | time=7.91s
[26/5000] Wrote video_id=109187 | split=train | frames=43 | time=7.94s
[27/5000] Wrote video_id=109188 | split=train | frames=32 | time=7.00s
[28/5000] Wrote video_id=109190 | split=train | frames=33 | time=7.80s
[29/5000] Wrote video_id=109193 | split=train | frames=42 | time=8.54s
[30/5000] Wrote video_id=109194 | split=train | frames=62 | time=15.50s
[31/5000] Wrote video_id=109195 | split=train | frames=48 | time=11.69s
[32/5000] Wrote video_id=109197 | split=train | frames=37 | time=8.36s
[33/5000] Wrote video_id=109201 | split=train | frames=51 | time=10.49s
[34/5000] Wrote video_id=109203 | split=train | frames=39 | time=9.35s
[35/5000] Wrote video_id=109204 | split=train | frames=42 | time=10.50s
[36/5000] Wrote video_id=109205 | split=train | frames=28 | time=6.95s
[37/5000] Wrote video_id=109206 | split=train | frames=51 | time=10.34s
[38/5000] Wrote video_id=109207 | split=train | frames=63 | time=14.84s
[39/5000] Wrote video_id=109208 | split=train | frames=66 | time=13.43s
[40/5000] Wrote video_id=109209 | split=train | frames=35 | time=7.49s
[41/5000] Wrote video_id=109210 | split=train | frames=65 | time=14.86s
[42/5000] Wrote video_id=109211 | split=train | frames=52 | time=12.76s
[43/5000] Wrote video_id=109212 | split=train | frames=45 | time=10.29s
[44/5000] Wrote video_id=109213 | split=train | frames=70 | time=12.97s
[45/5000] Wrote video_id=109214 | split=train | frames=50 | time=11.61s
[46/5000] Wrote video_id=109216 | split=train | frames=42 | time=9.84s
[47/5000] Wrote video_id=109217 | split=train | frames=38 | time=8.67s
[48/5000] Wrote video_id=109220 | split=train | frames=39 | time=8.99s
[49/5000] Wrote video_id=109221 | split=train | frames=52 | time=10.76s
[50/5000] Wrote video_id=109222 | split=train | frames=53 | time=13.15s
[51/5000] Wrote video_id=109223 | split=train | frames=28 | time=5.12s
[52/5000] Wrote video_id=109225 | split=train | frames=56 | time=12.41s
[53/5000] Wrote video_id=109226 | split=train | frames=45 | time=11.20s
[54/5000] Wrote video_id=109227 | split=train | frames=49 | time=11.96s
[55/5000] Wrote video_id=109229 | split=train | frames=47 | time=11.75s
[56/5000] Wrote video_id=109230 | split=train | frames=70 | time=16.30s
[57/5000] Wrote video_id=109231 | split=train | frames=58 | time=12.97s
[58/5000] Wrote video_id=109232 | split=train | frames=61 | time=15.16s
[59/5000] Wrote video_id=109234 | split=train | frames=30 | time=6.20s
[60/5000] Wrote video_id=109235 | split=train | frames=48 | time=11.82s
[61/5000] Wrote video_id=109236 | split=train | frames=35 | time=7.87s
[62/5000] Wrote video_id=109238 | split=train | frames=35 | time=7.93s
[63/5000] Wrote video_id=109240 | split=train | frames=28 | time=6.55s
[64/5000] Wrote video_id=109245 | split=train | frames=64 | time=12.62s
[65/5000] Wrote video_id=109246 | split=train | frames=24 | time=5.67s
[66/5000] Wrote video_id=109247 | split=train | frames=44 | time=10.73s
[67/5000] Wrote video_id=109248 | split=train | frames=41 | time=9.12s
[68/5000] Wrote video_id=109249 | split=train | frames=58 | time=13.84s
[69/5000] Wrote video_id=109250 | split=train | frames=32 | time=7.11s
[70/5000] Wrote video_id=109253 | split=train | frames=62 | time=13.11s
[71/5000] Wrote video_id=109254 | split=train | frames=33 | time=7.66s
[72/5000] Wrote video_id=109257 | split=train | frames=52 | time=13.00s
[73/5000] Wrote video_id=109258 | split=train | frames=53 | time=13.15s
[74/5000] Wrote video_id=109259 | split=train | frames=29 | time=7.11s
[75/5000] Wrote video_id=109260 | split=train | frames=56 | time=11.44s
[76/5000] Wrote video_id=109262 | split=train | frames=38 | time=8.84s
[77/5000] Wrote video_id=109263 | split=train | frames=62 | time=12.26s
[78/5000] Wrote video_id=109265 | split=train | frames=45 | time=10.24s
[79/5000] Wrote video_id=109266 | split=train | frames=30 | time=7.15s
[80/5000] Wrote video_id=109270 | split=train | frames=49 | time=12.02s
[81/5000] Wrote video_id=109271 | split=train | frames=33 | time=6.10s
[82/5000] Wrote video_id=109273 | split=train | frames=24 | time=5.92s
[83/5000] Wrote video_id=109274 | split=train | frames=17 | time=3.89s
[84/5000] Wrote video_id=109277 | split=train | frames=56 | time=12.42s
[85/5000] Wrote video_id=109279 | split=train | frames=70 | time=15.85s
[86/5000] Wrote video_id=109280 | split=train | frames=32 | time=6.56s
[87/5000] Wrote video_id=109281 | split=train | frames=30 | time=7.01s
[88/5000] Wrote video_id=109282 | split=train | frames=51 | time=12.65s
[89/5000] Wrote video_id=109283 | split=train | frames=24 | time=5.98s
[90/5000] Wrote video_id=109284 | split=train | frames=35 | time=7.92s
[91/5000] Wrote video_id=109286 | split=train | frames=52 | time=11.64s
[92/5000] Wrote video_id=109287 | split=train | frames=44 | time=9.73s
[93/5000] Wrote video_id=109288 | split=train | frames=50 | time=10.91s
[94/5000] Wrote video_id=109289 | split=train | frames=46 | time=9.97s
[95/5000] Wrote video_id=109290 | split=train | frames=29 | time=6.76s
[96/5000] Wrote video_id=109291 | split=train | frames=30 | time=5.90s
[97/5000] Wrote video_id=109292 | split=train | frames=57 | time=12.48s
[98/5000] Wrote video_id=109293 | split=train | frames=65 | time=16.10s
[99/5000] Wrote video_id=109294 | split=train | frames=64 | time=15.05s
[100/5000] Wrote video_id=109296 | split=train | frames=34 | time=8.18s
[101/5000] Wrote video_id=109297 | split=train | frames=44 | time=10.93s
[102/5000] Wrote video_id=109298 | split=train | frames=63 | time=15.62s
[103/5000] Wrote video_id=109299 | split=train | frames=44 | time=10.09s
[104/5000] Wrote video_id=109300 | split=train | frames=63 | time=13.26s
[105/5000] Wrote video_id=109304 | split=train | frames=43 | time=9.04s
[106/5000] Wrote video_id=109305 | split=train | frames=59 | time=12.32s
[107/5000] Wrote video_id=109306 | split=train | frames=48 | time=11.37s
[108/5000] Wrote video_id=109308 | split=train | frames=29 | time=7.23s
[109/5000] Wrote video_id=109309 | split=train | frames=20 | time=4.66s
[110/5000] Wrote video_id=109311 | split=train | frames=32 | time=6.84s
[111/5000] Wrote video_id=109312 | split=train | frames=65 | time=13.78s
[112/5000] Wrote video_id=109314 | split=train | frames=45 | time=10.98s
[113/5000] Wrote video_id=109315 | split=train | frames=62 | time=14.73s
[114/5000] Wrote video_id=109316 | split=train | frames=44 | time=10.82s
[115/5000] Wrote video_id=109317 | split=train | frames=50 | time=11.17s
[116/5000] Wrote video_id=109318 | split=train | frames=67 | time=16.22s
[117/5000] Wrote video_id=109319 | split=train | frames=55 | time=12.74s
[118/5000] Wrote video_id=109322 | split=train | frames=43 | time=10.40s
[119/5000] Wrote video_id=109324 | split=train | frames=50 | time=12.46s
[120/5000] Wrote video_id=109325 | split=train | frames=33 | time=7.62s
[121/5000] Wrote video_id=109326 | split=train | frames=39 | time=9.72s
[122/5000] Wrote video_id=109327 | split=train | frames=50 | time=11.07s
[123/5000] Wrote video_id=109329 | split=train | frames=61 | time=13.29s
[124/5000] Wrote video_id=109330 | split=train | frames=46 | time=11.30s
[125/5000] Wrote video_id=109331 | split=train | frames=63 | time=15.70s
[126/5000] Wrote video_id=109332 | split=train | frames=46 | time=10.82s
[127/5000] Wrote video_id=109333 | split=train | frames=43 | time=10.72s
[128/5000] Wrote video_id=109336 | split=train | frames=60 | time=14.04s
[129/5000] Wrote video_id=109337 | split=train | frames=51 | time=11.82s
[130/5000] Wrote video_id=109338 | split=train | frames=40 | time=7.58s
[131/5000] Wrote video_id=109340 | split=train | frames=43 | time=9.32s
[132/5000] Wrote video_id=109341 | split=train | frames=36 | time=8.08s
[133/5000] Wrote video_id=109342 | split=train | frames=34 | time=6.98s
[134/5000] Wrote video_id=109344 | split=train | frames=56 | time=13.19s
[135/5000] Wrote video_id=109346 | split=train | frames=41 | time=9.86s
[136/5000] Wrote video_id=109348 | split=train | frames=24 | time=5.95s
[137/5000] Wrote video_id=109349 | split=train | frames=55 | time=12.27s
[138/5000] Wrote video_id=109350 | split=train | frames=45 | time=11.19s
[139/5000] Wrote video_id=109352 | split=train | frames=43 | time=9.00s
[140/5000] Wrote video_id=109354 | split=train | frames=32 | time=7.13s
[141/5000] Wrote video_id=109355 | split=train | frames=36 | time=7.54s
[142/5000] Wrote video_id=109356 | split=train | frames=65 | time=14.07s
[143/5000] Wrote video_id=109357 | split=train | frames=34 | time=7.07s
[144/5000] Wrote video_id=109358 | split=train | frames=40 | time=7.16s
[145/5000] Wrote video_id=109359 | split=train | frames=54 | time=12.71s
[146/5000] Wrote video_id=109360 | split=train | frames=66 | time=12.45s
[147/5000] Wrote video_id=109361 | split=train | frames=40 | time=9.23s
[148/5000] Wrote video_id=109362 | split=train | frames=59 | time=14.58s
[149/5000] Wrote video_id=109363 | split=train | frames=42 | time=9.68s
[150/5000] Wrote video_id=109364 | split=train | frames=33 | time=7.45s
[151/5000] Wrote video_id=109365 | split=train | frames=51 | time=11.72s
[152/5000] Wrote video_id=109366 | split=train | frames=37 | time=7.94s
[153/5000] Wrote video_id=109369 | split=train | frames=30 | time=6.10s
[154/5000] Wrote video_id=109370 | split=train | frames=42 | time=8.45s
[155/5000] Wrote video_id=109371 | split=train | frames=67 | time=15.49s
[156/5000] Wrote video_id=109373 | split=train | frames=61 | time=15.15s
[157/5000] Wrote video_id=109374 | split=train | frames=51 | time=12.34s
[158/5000] Wrote video_id=109376 | split=train | frames=60 | time=14.80s
[159/5000] Wrote video_id=109377 | split=train | frames=39 | time=9.57s
[160/5000] Wrote video_id=109378 | split=train | frames=41 | time=7.53s
[161/5000] Wrote video_id=109379 | split=train | frames=36 | time=6.93s
[162/5000] Wrote video_id=109380 | split=train | frames=34 | time=7.69s
[163/5000] Wrote video_id=109381 | split=train | frames=45 | time=9.21s
[164/5000] Wrote video_id=109382 | split=train | frames=35 | time=6.45s
[165/5000] Wrote video_id=109383 | split=train | frames=51 | time=11.63s
[166/5000] Wrote video_id=109384 | split=train | frames=39 | time=8.63s
[167/5000] Wrote video_id=109385 | split=train | frames=58 | time=14.18s
[168/5000] Wrote video_id=109386 | split=train | frames=21 | time=4.70s
[169/5000] Wrote video_id=109387 | split=train | frames=28 | time=6.03s
[170/5000] Wrote video_id=109389 | split=train | frames=41 | time=8.22s
[171/5000] Wrote video_id=109390 | split=train | frames=52 | time=9.99s
[172/5000] Wrote video_id=109391 | split=train | frames=59 | time=11.58s
[173/5000] Wrote video_id=109392 | split=train | frames=54 | time=13.23s
[174/5000] Wrote video_id=109393 | split=train | frames=38 | time=9.35s
[175/5000] Wrote video_id=109394 | split=train | frames=37 | time=9.10s
[176/5000] Wrote video_id=109396 | split=train | frames=50 | time=9.49s
[177/5000] Wrote video_id=109397 | split=train | frames=55 | time=10.58s
[178/5000] Wrote video_id=109398 | split=train | frames=42 | time=9.11s
[179/5000] Wrote video_id=109399 | split=train | frames=17 | time=3.56s
[180/5000] Wrote video_id=109400 | split=train | frames=72 | time=17.72s
[181/5000] Wrote video_id=109401 | split=train | frames=44 | time=10.50s
[182/5000] Wrote video_id=109402 | split=train | frames=47 | time=11.74s
[183/5000] Wrote video_id=109403 | split=train | frames=47 | time=9.15s
[184/5000] Wrote video_id=109404 | split=train | frames=49 | time=10.48s
[185/5000] Wrote video_id=109406 | split=train | frames=30 | time=7.31s
[186/5000] Wrote video_id=109407 | split=train | frames=54 | time=10.30s
[187/5000] Wrote video_id=109408 | split=train | frames=61 | time=15.19s
[188/5000] Wrote video_id=109409 | split=train | frames=36 | time=7.94s
[189/5000] Wrote video_id=109410 | split=train | frames=62 | time=11.78s
[190/5000] Wrote video_id=109411 | split=train | frames=46 | time=10.93s
[191/5000] Wrote video_id=109412 | split=train | frames=56 | time=10.04s
[192/5000] Wrote video_id=109413 | split=train | frames=31 | time=7.72s
[193/5000] Wrote video_id=109414 | split=train | frames=65 | time=15.94s
[194/5000] Wrote video_id=109415 | split=train | frames=65 | time=15.13s
[195/5000] Wrote video_id=109416 | split=train | frames=18 | time=4.00s
[196/5000] Wrote video_id=109417 | split=train | frames=37 | time=8.80s
[197/5000] Wrote video_id=109419 | split=train | frames=44 | time=10.95s
[198/5000] Wrote video_id=109421 | split=train | frames=57 | time=14.22s
[199/5000] Wrote video_id=109422 | split=train | frames=38 | time=8.86s
[200/5000] Wrote video_id=109424 | split=train | frames=29 | time=7.24s
[201/5000] Wrote video_id=109426 | split=train | frames=29 | time=6.39s
[202/5000] Wrote video_id=109428 | split=train | frames=52 | time=10.58s
[203/5000] Wrote video_id=109429 | split=train | frames=53 | time=13.22s
[204/5000] Wrote video_id=109430 | split=train | frames=39 | time=8.51s
[205/5000] Wrote video_id=109432 | split=train | frames=41 | time=9.60s
[206/5000] Wrote video_id=109435 | split=train | frames=42 | time=9.82s
[207/5000] Wrote video_id=109436 | split=train | frames=42 | time=7.53s
[208/5000] Wrote video_id=109437 | split=train | frames=61 | time=13.90s
[209/5000] Wrote video_id=109439 | split=train | frames=63 | time=15.15s
[210/5000] Wrote video_id=109440 | split=train | frames=35 | time=8.43s
[211/5000] Wrote video_id=109441 | split=train | frames=23 | time=4.73s
[212/5000] Wrote video_id=109442 | split=train | frames=45 | time=10.94s
[213/5000] Wrote video_id=109444 | split=train | frames=61 | time=13.82s
[214/5000] Wrote video_id=109445 | split=train | frames=51 | time=12.55s
[215/5000] Wrote video_id=109446 | split=train | frames=32 | time=5.74s
[216/5000] Wrote video_id=109447 | split=train | frames=31 | time=6.71s
[217/5000] Wrote video_id=109448 | split=train | frames=68 | time=16.06s
