/usr/local/lib/python3.10/dist-packages/google/api_core/_python_version_support.py:273: FutureWarning: You are using a Python version (3.10.12) which Google will stop supporting in new releases of google.api_core once it reaches its end of life (2026-10-04). Please upgrade to the latest Python version, or at least Python 3.11, to continue receiving updates for google.api_core past that date.
  warnings.warn(message, FutureWarning)
/usr/local/lib/python3.10/dist-packages/google/api_core/_python_version_support.py:273: FutureWarning: You are using a Python version (3.10.12) which Google will stop supporting in new releases of google.cloud.storage_control_v2 once it reaches its end of life (2026-10-04). Please upgrade to the latest Python version, or at least Python 3.11, to continue receiving updates for google.cloud.storage_control_v2 past that date.
  warnings.warn(message, FutureWarning)
frames_root: /datasets/ssv2/nips/frames_train
videos_to_process: 5000
first_video: 102593 | last_video: 109156
2026-04-26 15:54:29.059868: E external/local_xla/xla/stream_executor/cuda/cuda_dnn.cc:9261] Unable to register cuDNN factory: Attempting to register factory for plugin cuDNN when one has already been registered
2026-04-26 15:54:29.059916: E external/local_xla/xla/stream_executor/cuda/cuda_fft.cc:607] Unable to register cuFFT factory: Attempting to register factory for plugin cuFFT when one has already been registered
2026-04-26 15:54:29.060779: E external/local_xla/xla/stream_executor/cuda/cuda_blas.cc:1515] Unable to register cuBLAS factory: Attempting to register factory for plugin cuBLAS when one has already been registered
AttributeError: 'MessageFactory' object has no attribute 'GetPrototype'
AttributeError: 'MessageFactory' object has no attribute 'GetPrototype'
AttributeError: 'MessageFactory' object has no attribute 'GetPrototype'
AttributeError: 'MessageFactory' object has no attribute 'GetPrototype'
2026-04-26 15:54:30.185481: W tensorflow/compiler/tf2tensorrt/utils/py_utils.cc:38] TF-TRT Warning: Could not find TensorRT
AttributeError: 'MessageFactory' object has no attribute 'GetPrototype'
[1/5000] Wrote video_id=102593 | split=train | frames=44 | time=23.03s
[2/5000] Wrote video_id=102594 | split=train | frames=22 | time=4.99s
[3/5000] Wrote video_id=102595 | split=train | frames=59 | time=13.78s
[4/5000] Wrote video_id=102596 | split=train | frames=30 | time=6.56s
[5/5000] Wrote video_id=102597 | split=train | frames=40 | time=10.31s
[6/5000] Wrote video_id=102599 | split=train | frames=59 | time=15.04s
[7/5000] Wrote video_id=102600 | split=train | frames=45 | time=11.34s
[8/5000] Wrote video_id=102601 | split=train | frames=67 | time=16.91s
[9/5000] Wrote video_id=102602 | split=train | frames=44 | time=11.89s
[10/5000] Wrote video_id=102603 | split=train | frames=26 | time=5.75s
[11/5000] Wrote video_id=102604 | split=train | frames=58 | time=16.29s
[12/5000] Wrote video_id=102605 | split=train | frames=25 | time=6.51s
[13/5000] Wrote video_id=102608 | split=train | frames=41 | time=11.60s
[14/5000] Wrote video_id=102609 | split=train | frames=40 | time=10.98s
[15/5000] Wrote video_id=102610 | split=train | frames=58 | time=16.50s
[16/5000] Wrote video_id=102611 | split=train | frames=48 | time=13.47s
[17/5000] Wrote video_id=102612 | split=train | frames=36 | time=8.52s
[18/5000] Wrote video_id=102613 | split=train | frames=61 | time=17.61s
[19/5000] Wrote video_id=102614 | split=train | frames=32 | time=9.19s
[20/5000] Wrote video_id=102615 | split=train | frames=38 | time=9.28s
[21/5000] Wrote video_id=102616 | split=train | frames=48 | time=13.50s
[22/5000] Wrote video_id=102617 | split=train | frames=32 | time=8.36s
[23/5000] Wrote video_id=102618 | split=train | frames=25 | time=6.99s
[24/5000] Wrote video_id=102621 | split=train | frames=47 | time=13.31s
[25/5000] Wrote video_id=102623 | split=train | frames=45 | time=11.46s
[26/5000] Wrote video_id=102624 | split=train | frames=48 | time=13.73s
